Case;Maschinenstatus;Verzögerung;vorher Maschinenpause;Vorverarbeitung
78;Gut;Nein;Nein;nein
79;Schlecht;Ja;Nein;nein
80;Gut;Nein;Nein;nein
81;Gut;Ja;Nein;nein
82;Schlecht;Ja;Nein;Ja
83;Gut;Ja;Nein;nein
84;Gut;Ja;Nein;nein
85;Schlecht;Ja;Nein;Ja
86;Schlecht;Nein;Nein;nein
87;Schlecht;Ja;Ja;Ja
88;Gut;Ja;Nein;nein
89;Schlecht;Nein;Nein;Ja
90;Schlecht;Ja;Nein;Ja
91;Gut;Nein;Nein;nein
92;Gut;Nein;Nein;nein
93;Gut;Ja;Ja;nein
94;Schlecht;Ja;Nein;nein
95;Gut;Nein;Nein;nein
96;Gut;Ja;Ja;nein
97;Schlecht;Nein;Nein;Ja
98;Schlecht;Nein;Ja;nein
99;Schlecht;Ja;Nein;Ja
100;Gut;Nein;Nein;nein
101;Gut;Nein;Nein;nein
102;Gut;Nein;Nein;nein
103;Gut;Ja;Ja;nein
104;Gut;Ja;Nein;nein
105;Schlecht;Nein;Nein;Ja
106;Schlecht;Ja;Nein;Ja
107;Schlecht;Ja;Nein;Ja
108;Schlecht;Ja;Nein;Ja
109;Gut;Ja;Nein;nein
110;Gut;Ja;Nein;nein
111;Gut;Ja;Nein;nein
112;Schlecht;Nein;Nein;Ja
113;Gut;Nein;Nein;nein
114;Gut;Nein;Nein;nein
115;Gut;Nein;Nein;nein
116;Gut;Nein;Nein;nein
117;Gut;Ja;Nein;nein
118;Gut;Nein;Ja;nein
119;Gut;Nein;Nein;nein
120;Gut;Nein;Nein;nein
121;Schlecht;Ja;Nein;Ja
122;Gut;Ja;Nein;nein
123;Schlecht;Ja;Nein;Ja
124;Gut;Nein;Ja;nein
125;Gut;Nein;Nein;nein
126;Gut;Ja;Nein;nein
127;Schlecht;Ja;Nein;Ja
128;Gut;Ja;Ja;nein
129;Gut;Nein;Nein;nein
130;Gut;Ja;Nein;nein
131;Schlecht;Ja;Nein;Ja
132;Gut;Nein;Nein;nein
133;Gut;Nein;Nein;nein
134;Schlecht;Ja;Nein;Ja
135;Gut;Nein;Nein;nein
136;Gut;Nein;Ja;nein
137;Gut;Ja;Nein;nein
138;Schlecht;Nein;Nein;Ja
139;Gut;Nein;Ja;nein
140;Schlecht;Ja;Nein;Ja
141;Schlecht;Nein;Nein;Ja
142;Gut;Nein;Nein;nein
143;Gut;Nein;Nein;Ja
144;Gut;Nein;Ja;nein
145;Gut;Ja;Nein;nein
146;Schlecht;Ja;Nein;Ja
147;Gut;Nein;Ja;nein
148;Schlecht;Ja;Nein;Ja
149;Gut;Ja;Nein;nein
150;Gut;Ja;Nein;nein
151;Schlecht;Ja;Nein;Ja
152;Gut;Nein;Nein;nein
153;Gut;Ja;Nein;nein
154;Schlecht;Ja;Nein;Ja
155;Gut;Nein;Nein;nein
156;Schlecht;Nein;Nein;Ja
157;Schlecht;Nein;Nein;Ja
158;Gut;Ja;Ja;nein
159;Gut;Ja;Nein;nein
160;Schlecht;Nein;Nein;Ja
161;Schlecht;Ja;Nein;nein
162;Gut;Nein;Nein;nein
163;Gut;Ja;Ja;nein
164;Gut;Nein;Nein;nein
165;Gut;Nein;Nein;nein
166;Gut;Ja;Nein;nein
167;Gut;Nein;Nein;nein
168;Schlecht;Nein;Nein;nein
169;Schlecht;Ja;Nein;Ja
170;Schlecht;Nein;Nein;Ja
171;Schlecht;Nein;Nein;nein
172;Schlecht;Ja;Nein;Ja
173;Gut;Ja;Ja;nein
174;Gut;Ja;Nein;nein
175;Schlecht;Ja;Nein;nein
176;Schlecht;Ja;Nein;Ja
177;Schlecht;Nein;Nein;Ja
178;Gut;Nein;Nein;nein
179;Gut;Nein;Nein;nein
180;Gut;Nein;Nein;nein
181;Gut;Ja;Nein;nein
182;Schlecht;Ja;Nein;Ja
183;Schlecht;Ja;Nein;Ja
184;Gut;Nein;Ja;nein
185;Gut;Ja;Ja;nein
186;Schlecht;Nein;Nein;Ja
187;Gut;Ja;Nein;nein
188;Gut;Ja;Nein;nein
189;Schlecht;Nein;Nein;Ja
190;Gut;Nein;Nein;nein
191;Gut;Ja;Nein;nein
192;Gut;Nein;Nein;nein
193;Gut;Nein;Nein;nein
194;Gut;Ja;Nein;nein
195;Gut;Ja;Ja;nein
196;Gut;Nein;Ja;Ja
197;Gut;Ja;Nein;nein
198;Schlecht;Nein;Ja;Ja
199;Gut;Ja;Nein;nein
200;Gut;Nein;Nein;Ja
201;Gut;Nein;Nein;nein
202;Schlecht;Ja;Nein;Ja
203;Gut;Nein;Nein;nein
204;Schlecht;Ja;Nein;Ja
205;Gut;Ja;Nein;nein
206;Gut;Nein;Nein;nein
207;Gut;Nein;Nein;nein
208;Gut;Nein;Nein;nein
209;Gut;Ja;Nein;nein
210;Gut;Nein;Nein;nein
211;Schlecht;Nein;Nein;Ja
212;Gut;Ja;Nein;nein
213;Gut;Nein;Nein;nein
214;Schlecht;Nein;Nein;Ja
215;Gut;Ja;Nein;nein
216;Gut;Ja;Ja;nein
217;Schlecht;Ja;Nein;Ja
218;Gut;Nein;Nein;nein
219;Gut;Nein;Nein;nein
220;Schlecht;Ja;Nein;Ja
221;Gut;Nein;Nein;nein
222;Schlecht;Nein;Nein;Ja
223;Schlecht;Ja;Ja;Ja
224;Gut;Nein;Nein;nein
225;Gut;Nein;Nein;nein
226;Gut;Nein;Nein;nein
227;Gut;Nein;Nein;nein
228;Gut;Nein;Nein;Ja
229;Gut;Nein;Ja;nein
230;Gut;Nein;Nein;nein
231;Gut;Nein;Nein;nein
232;Schlecht;Ja;Nein;nein
233;Gut;Nein;Nein;Ja
234;Gut;Nein;Nein;Ja
235;Gut;Nein;Ja;nein
236;Schlecht;Nein;Nein;Ja
237;Schlecht;Ja;Nein;Ja
238;Gut;Ja;Nein;nein
239;Schlecht;Nein;Nein;Ja
240;Gut;Nein;Nein;nein
241;Gut;Nein;Nein;Ja
242;Schlecht;Ja;Nein;Ja
243;Schlecht;Ja;Nein;Ja
244;Schlecht;Nein;Nein;Ja
245;Schlecht;Ja;Nein;Ja
246;Schlecht;Ja;Nein;Ja
247;Schlecht;Nein;Nein;nein
248;Gut;Nein;Nein;nein
249;Gut;Ja;Nein;nein
250;Schlecht;Ja;Nein;Ja
251;Schlecht;Nein;Nein;Ja
252;Schlecht;Nein;Nein;Ja
253;Schlecht;Ja;Nein;Ja
254;Schlecht;Nein;Nein;Ja
255;Gut;Nein;Nein;nein
256;Schlecht;Nein;Nein;Ja
257;Gut;Ja;Nein;nein
258;Schlecht;Ja;Nein;Ja
259;Schlecht;Nein;Nein;nein
260;Gut;Nein;Nein;nein
261;Gut;Nein;Nein;nein
262;Gut;Nein;Nein;nein
263;Gut;Ja;Nein;nein
264;Gut;Nein;Ja;nein
265;Schlecht;Ja;Nein;Ja
266;Gut;Nein;Nein;nein
267;Gut;Ja;Nein;nein
268;Gut;Ja;Nein;nein
269;Gut;Nein;Nein;nein
270;Schlecht;Ja;Nein;Ja
271;Gut;Ja;Ja;nein
272;Schlecht;Nein;Nein;Ja
273;Gut;Nein;Nein;nein
274;Schlecht;Ja;Nein;Ja
275;Gut;Ja;Ja;nein
276;Gut;Nein;Ja;nein
277;Schlecht;Nein;Nein;Ja
278;Schlecht;Nein;Nein;Ja
279;Gut;Nein;Nein;nein
280;Schlecht;Nein;Nein;Ja
281;Gut;Nein;Ja;nein
282;Gut;Ja;Nein;nein
283;Gut;Ja;Nein;nein
284;Schlecht;Ja;Nein;Ja
285;Schlecht;Ja;Nein;Ja
286;Gut;Nein;Nein;nein
287;Schlecht;Ja;Nein;Ja
288;Gut;Ja;Nein;nein
289;Gut;Ja;Ja;nein
290;Gut;Nein;Ja;nein
291;Gut;Ja;Ja;nein
292;Schlecht;Nein;Nein;Ja
293;Schlecht;Ja;Nein;Ja
294;Gut;Nein;Nein;nein
295;Gut;Nein;Nein;nein
296;Gut;Ja;Nein;nein
297;Gut;Ja;Nein;nein
298;Gut;Nein;Nein;nein
299;Gut;Nein;Nein;Ja
300;Gut;Nein;Nein;Ja
301;Schlecht;Nein;Nein;Ja
302;Gut;Ja;Nein;nein
303;Schlecht;Nein;Nein;Ja
304;Gut;Nein;Nein;nein
305;Schlecht;Ja;Nein;Ja
306;Schlecht;Nein;Nein;Ja
307;Schlecht;Ja;Nein;Ja
308;Gut;Nein;Ja;nein
309;Gut;Ja;Nein;nein
310;Schlecht;Ja;Nein;Ja
311;Gut;Ja;Nein;nein
312;Gut;Ja;Nein;nein
313;Gut;Ja;Ja;nein
314;Schlecht;Ja;Nein;Ja
315;Gut;Nein;Nein;nein
316;Gut;Nein;Nein;nein
317;Gut;Ja;Nein;nein
318;Gut;Nein;Nein;nein
319;Schlecht;Nein;Nein;Ja
320;Gut;Nein;Nein;nein
321;Gut;Nein;Nein;Ja
322;Gut;Nein;Ja;nein
323;Gut;Ja;Nein;nein
324;Schlecht;Ja;Nein;Ja
325;Gut;Ja;Ja;nein
326;Gut;Nein;Nein;nein
327;Schlecht;Ja;Nein;Ja
328;Schlecht;Nein;Nein;Ja
329;Gut;Ja;Nein;nein
330;Schlecht;Ja;Nein;Ja
331;Gut;Ja;Nein;nein
332;Gut;Ja;Nein;nein
333;Schlecht;Nein;Nein;Ja
334;Gut;Ja;Nein;nein
335;Gut;Nein;Nein;nein
336;Gut;Nein;Ja;Ja
337;Schlecht;Nein;Nein;nein
338;Gut;Ja;Nein;nein
339;Gut;Ja;Nein;nein
340;Schlecht;Ja;Nein;Ja
341;Schlecht;Nein;Nein;Ja
342;Gut;Nein;Ja;nein
343;Gut;Ja;Nein;nein
344;Schlecht;Ja;Nein;Ja
345;Gut;Nein;Ja;nein
346;Gut;Nein;Nein;nein
347;Gut;Nein;Nein;nein
348;Gut;Nein;Nein;nein
349;Gut;Nein;Ja;Ja
350;Gut;Nein;Nein;nein
351;Gut;Nein;Nein;nein
352;Gut;Ja;Nein;nein
353;Gut;Ja;Nein;nein
354;Gut;Ja;Nein;nein
355;Schlecht;Nein;Nein;nein
356;Gut;Nein;Nein;nein
357;Gut;Nein;Nein;nein
358;Schlecht;Nein;Nein;Ja
359;Gut;Ja;Nein;nein
360;Gut;Nein;Ja;nein
361;Schlecht;Ja;Nein;Ja
362;Schlecht;Nein;Nein;Ja
363;Gut;Nein;Ja;nein
364;Schlecht;Ja;Nein;Ja
365;Schlecht;Nein;Nein;Ja
366;Gut;Nein;Ja;nein
367;Gut;Ja;Nein;nein
368;Schlecht;Ja;Nein;Ja
369;Gut;Ja;Nein;nein
370;Gut;Nein;Nein;nein
371;Gut;Ja;Nein;nein
372;Gut;Nein;Nein;nein
373;Schlecht;Ja;Nein;Ja
374;Schlecht;Nein;Nein;Ja
375;Gut;Ja;Nein;nein
376;Gut;Ja;Nein;nein
377;Gut;Ja;Nein;nein
378;Schlecht;Nein;Ja;Ja
379;Gut;Nein;Ja;nein
380;Gut;Nein;Nein;nein
381;Gut;Nein;Ja;nein
382;Schlecht;Nein;Ja;Ja
383;Schlecht;Nein;Nein;Ja
384;Gut;Ja;Nein;nein
385;Gut;Ja;Ja;nein
386;Gut;Ja;Ja;nein
387;Gut;Ja;Ja;nein
388;Schlecht;Ja;Nein;Ja
389;Gut;Ja;Nein;nein
390;Gut;Nein;Nein;nein
391;Gut;Ja;Nein;nein
392;Schlecht;Nein;Nein;Ja
393;Schlecht;Nein;Nein;Ja
394;Gut;Nein;Nein;nein
395;Schlecht;Ja;Nein;Ja
396;Gut;Ja;Nein;nein
397;Gut;Ja;Nein;nein
398;Gut;Nein;Ja;nein
399;Schlecht;Nein;Nein;Ja
400;Gut;Nein;Nein;Ja
401;Gut;Ja;Nein;nein
402;Gut;Nein;Ja;nein
403;Gut;Nein;Nein;nein
404;Schlecht;Ja;Nein;nein
405;Gut;Nein;Nein;nein
406;Gut;Nein;Nein;nein
407;Schlecht;Nein;Nein;Ja
408;Schlecht;Ja;Nein;Ja
409;Gut;Ja;Nein;nein
410;Gut;Ja;Nein;nein
411;Gut;Nein;Nein;nein
412;Gut;Ja;Nein;nein
413;Gut;Nein;Nein;nein
414;Gut;Ja;Nein;nein
415;Gut;Nein;Nein;nein
416;Schlecht;Ja;Nein;Ja
417;Gut;Nein;Nein;nein
418;Schlecht;Ja;Nein;Ja
419;Schlecht;Ja;Nein;nein
420;Gut;Nein;Ja;nein
421;Gut;Nein;Ja;nein
422;Gut;Nein;Nein;nein
423;Gut;Ja;Ja;nein
424;Gut;Ja;Nein;nein
425;Gut;Ja;Nein;nein
426;Gut;Ja;Ja;nein
427;Gut;Ja;Nein;nein
428;Gut;Ja;Ja;nein
429;Gut;Ja;Nein;nein
430;Schlecht;Nein;Nein;Ja
431;Gut;Ja;Nein;nein
432;Gut;Nein;Nein;nein
433;Schlecht;Ja;Nein;Ja
434;Gut;Ja;Nein;nein
435;Schlecht;Ja;Nein;Ja
436;Schlecht;Nein;Nein;Ja
437;Schlecht;Ja;Nein;Ja
438;Schlecht;Nein;Ja;Ja
439;Schlecht;Nein;Nein;Ja
440;Gut;Nein;Nein;nein
441;Gut;Nein;Nein;nein
442;Schlecht;Ja;Nein;Ja
443;Gut;Ja;Ja;nein
444;Gut;Ja;Nein;nein
445;Gut;Nein;Ja;nein
446;Gut;Nein;Nein;nein
447;Gut;Nein;Nein;nein
448;Schlecht;Ja;Nein;Ja
449;Gut;Ja;Nein;nein
450;Schlecht;Ja;Ja;Ja
451;Gut;Ja;Ja;nein
452;Gut;Nein;Nein;nein
453;Schlecht;Ja;Nein;Ja
454;Gut;Ja;Nein;nein
455;Gut;Ja;Nein;nein
456;Gut;Ja;Nein;nein
457;Gut;Nein;Nein;nein
458;Gut;Ja;Nein;nein
459;Gut;Nein;Ja;nein
460;Schlecht;Ja;Nein;Ja
461;Schlecht;Ja;Nein;Ja
462;Gut;Ja;Ja;nein
463;Gut;Nein;Ja;nein
464;Gut;Nein;Ja;nein
465;Schlecht;Ja;Nein;Ja
466;Schlecht;Ja;Nein;Ja
467;Schlecht;Nein;Nein;nein
468;Schlecht;Ja;Nein;Ja
469;Gut;Ja;Ja;nein
470;Gut;Ja;Nein;nein
471;Gut;Nein;Nein;nein
472;Schlecht;Ja;Nein;nein
473;Schlecht;Ja;Nein;Ja
474;Schlecht;Nein;Nein;Ja
475;Gut;Nein;Ja;Ja
476;Schlecht;Ja;Nein;Ja
477;Gut;Nein;Nein;nein
478;Gut;Nein;Nein;Ja
479;Gut;Ja;Nein;nein
480;Gut;Nein;Ja;nein
481;Gut;Nein;Nein;nein
482;Schlecht;Ja;Nein;Ja
483;Schlecht;Ja;Nein;Ja
484;Schlecht;Ja;Nein;Ja
485;Gut;Nein;Nein;nein
486;Gut;Nein;Nein;nein
487;Gut;Ja;Nein;nein
488;Gut;Ja;Nein;nein
489;Gut;Ja;Nein;nein
490;Gut;Nein;Nein;nein
491;Gut;Ja;Ja;nein
492;Gut;Nein;Nein;nein
493;Gut;Ja;Nein;nein
494;Schlecht;Ja;Nein;nein
495;Gut;Nein;Nein;nein
496;Gut;Ja;Nein;nein
497;Schlecht;Ja;Nein;nein
498;Gut;Ja;Nein;nein
499;Schlecht;Ja;Nein;Ja
500;Gut;Ja;Nein;nein
501;Gut;Nein;Ja;nein
502;Gut;Nein;Nein;nein
503;Gut;Nein;Nein;nein
504;Schlecht;Ja;Nein;Ja
505;Gut;Nein;Nein;nein
506;Gut;Ja;Nein;nein
507;Gut;Nein;Nein;nein
508;Gut;Nein;Nein;nein
509;Schlecht;Nein;Nein;Ja
510;Gut;Nein;Nein;nein
511;Schlecht;Nein;Nein;Ja
512;Gut;Nein;Nein;nein
513;Gut;Ja;Ja;nein
514;Schlecht;Ja;Nein;Ja
515;Gut;Ja;Nein;nein
516;Gut;Nein;Ja;Ja
517;Schlecht;Nein;Nein;Ja
518;Gut;Nein;Nein;nein
519;Gut;Nein;Nein;nein
520;Gut;Nein;Ja;nein
521;Gut;Ja;Ja;nein
522;Gut;Nein;Nein;nein
523;Gut;Ja;Ja;nein
524;Schlecht;Nein;Nein;Ja
525;Gut;Nein;Nein;nein
526;Gut;Nein;Nein;nein
527;Gut;Nein;Nein;nein
528;Gut;Nein;Nein;nein
529;Schlecht;Ja;Nein;Ja
530;Schlecht;Ja;Nein;Ja
531;Gut;Nein;Ja;nein
532;Schlecht;Nein;Nein;Ja
533;Gut;Ja;Nein;nein
534;Gut;Nein;Nein;nein
535;Schlecht;Ja;Nein;Ja
536;Gut;Ja;Nein;nein
537;Gut;Nein;Nein;nein
538;Gut;Ja;Nein;nein
539;Gut;Ja;Nein;nein
540;Gut;Nein;Nein;nein
541;Schlecht;Nein;Nein;Ja
542;Schlecht;Ja;Nein;Ja
543;Gut;Nein;Nein;nein
544;Gut;Ja;Ja;nein
545;Gut;Nein;Nein;nein
546;Gut;Ja;Nein;nein
547;Schlecht;Ja;Nein;Ja
548;Gut;Ja;Ja;nein
549;Gut;Ja;Nein;nein
550;Schlecht;Nein;Nein;nein
551;Gut;Nein;Nein;nein
552;Gut;Nein;Nein;Ja
553;Gut;Ja;Nein;nein
554;Gut;Ja;Nein;nein
555;Gut;Nein;Nein;nein
556;Gut;Nein;Nein;nein
557;Schlecht;Nein;Nein;Ja
558;Gut;Nein;Nein;nein
559;Schlecht;Nein;Nein;Ja
560;Schlecht;Ja;Nein;nein
561;Schlecht;Nein;Nein;Ja
562;Gut;Ja;Nein;nein
563;Gut;Nein;Ja;nein
564;Gut;Nein;Nein;nein
565;Schlecht;Ja;Nein;Ja
566;Gut;Nein;Nein;nein
567;Schlecht;Ja;Nein;Ja
568;Gut;Nein;Nein;nein
569;Gut;Nein;Ja;nein
570;Gut;Nein;Nein;nein
571;Schlecht;Ja;Nein;Ja
572;Schlecht;Ja;Nein;nein
573;Schlecht;Ja;Nein;Ja
574;Gut;Ja;Nein;nein
575;Schlecht;Ja;Nein;Ja
576;Schlecht;Nein;Nein;Ja
577;Schlecht;Ja;Nein;Ja
578;Schlecht;Nein;Nein;Ja
579;Gut;Nein;Nein;nein
580;Gut;Nein;Nein;Ja
581;Gut;Nein;Nein;nein
582;Gut;Nein;Nein;nein
583;Schlecht;Ja;Nein;Ja
584;Schlecht;Nein;Nein;Ja
585;Schlecht;Nein;Nein;Ja
586;Gut;Nein;Ja;nein
587;Gut;Nein;Nein;nein
588;Schlecht;Ja;Nein;Ja
589;Gut;Nein;Nein;nein
590;Schlecht;Nein;Nein;Ja
591;Gut;Nein;Ja;nein
592;Schlecht;Ja;Nein;Ja
593;Schlecht;Nein;Nein;Ja
594;Gut;Nein;Nein;nein
595;Gut;Nein;Nein;nein
596;Gut;Nein;Ja;nein
597;Gut;Ja;Nein;nein
598;Gut;Nein;Nein;nein
599;Gut;Ja;Nein;nein
600;Schlecht;Nein;Nein;Ja
601;Schlecht;Ja;Nein;Ja
602;Gut;Ja;Ja;nein
603;Gut;Nein;Nein;nein
604;Gut;Nein;Nein;nein
605;Gut;Ja;Ja;nein
606;Schlecht;Ja;Nein;nein
607;Gut;Ja;Nein;nein
608;Schlecht;Ja;Nein;Ja
609;Schlecht;Ja;Nein;Ja
610;Schlecht;Nein;Nein;Ja
611;Gut;Ja;Ja;nein
612;Gut;Nein;Nein;nein
613;Gut;Nein;Nein;nein
614;Gut;Nein;Nein;nein
615;Gut;Nein;Nein;nein
616;Schlecht;Ja;Nein;Ja
617;Gut;Nein;Ja;nein
618;Gut;Nein;Nein;nein
619;Schlecht;Nein;Nein;nein
620;Schlecht;Nein;Nein;Ja
621;Gut;Nein;Ja;nein
622;Gut;Ja;Nein;nein
623;Gut;Nein;Nein;nein
624;Schlecht;Ja;Nein;nein
625;Gut;Ja;Ja;nein
626;Gut;Nein;Nein;Ja
627;Schlecht;Ja;Nein;Ja
628;Gut;Nein;Nein;nein
629;Schlecht;Ja;Nein;Ja
630;Schlecht;Nein;Nein;Ja
631;Gut;Nein;Nein;nein
632;Schlecht;Ja;Nein;Ja
633;Schlecht;Nein;Nein;Ja
634;Gut;Nein;Nein;nein
635;Schlecht;Nein;Nein;Ja
636;Gut;Ja;Ja;nein
637;Schlecht;Ja;Ja;Ja
638;Gut;Nein;Nein;nein
639;Gut;Nein;Nein;nein
640;Gut;Nein;Ja;nein
641;Schlecht;Nein;Nein;Ja
642;Gut;Ja;Nein;nein
643;Schlecht;Ja;Nein;nein
644;Gut;Ja;Nein;nein
645;Gut;Ja;Nein;nein
646;Gut;Nein;Nein;nein
647;Gut;Ja;Nein;nein
648;Schlecht;Ja;Nein;Ja
649;Schlecht;Ja;Nein;Ja
650;Gut;Ja;Ja;nein
651;Gut;Ja;Nein;nein
652;Gut;Nein;Nein;Ja
653;Gut;Nein;Nein;nein
654;Gut;Ja;Nein;nein
655;Gut;Ja;Nein;nein
656;Gut;Nein;Ja;nein
657;Gut;Nein;Ja;nein
658;Gut;Ja;Nein;nein
659;Schlecht;Ja;Nein;nein
660;Gut;Nein;Nein;nein
661;Schlecht;Ja;Nein;Ja
662;Schlecht;Ja;Nein;Ja
663;Gut;Ja;Nein;nein
664;Gut;Ja;Nein;nein
665;Gut;Nein;Ja;nein
666;Gut;Nein;Nein;nein
667;Gut;Ja;Nein;nein
668;Schlecht;Ja;Nein;Ja
669;Gut;Ja;Nein;nein
670;Gut;Ja;Ja;nein
671;Gut;Nein;Nein;nein
672;Schlecht;Ja;Nein;Ja
673;Schlecht;Ja;Nein;Ja
674;Gut;Ja;Nein;nein
675;Gut;Ja;Nein;nein
676;Schlecht;Ja;Nein;nein
677;Gut;Ja;Nein;nein
678;Schlecht;Nein;Nein;Ja
679;Gut;Ja;Nein;nein
680;Gut;Nein;Ja;nein
681;Gut;Nein;Nein;nein
682;Gut;Nein;Nein;nein
683;Schlecht;Nein;Nein;Ja
684;Gut;Nein;Nein;nein
685;Gut;Nein;Nein;nein
686;Schlecht;Ja;Nein;Ja
687;Gut;Nein;Nein;nein
688;Schlecht;Ja;Nein;nein
689;Schlecht;Ja;Nein;Ja
690;Gut;Nein;Nein;nein
691;Gut;Nein;Ja;nein
692;Gut;Nein;Nein;nein
693;Schlecht;Nein;Nein;Ja
694;Gut;Nein;Nein;nein
695;Gut;Nein;Nein;nein
696;Gut;Ja;Nein;nein
697;Gut;Nein;Nein;nein
698;Schlecht;Nein;Nein;Ja
699;Gut;Ja;Nein;nein
700;Gut;Ja;Nein;nein
701;Gut;Nein;Nein;nein
702;Schlecht;Ja;Nein;Ja
703;Gut;Ja;Ja;nein
704;Schlecht;Nein;Nein;Ja
705;Schlecht;Nein;Nein;Ja
706;Schlecht;Nein;Nein;Ja
707;Gut;Ja;Nein;nein
708;Gut;Nein;Nein;Ja
709;Schlecht;Ja;Nein;Ja
710;Schlecht;Nein;Nein;Ja
711;Gut;Ja;Nein;nein
712;Schlecht;Nein;Nein;Ja
713;Schlecht;Nein;Nein;Ja
714;Gut;Ja;Nein;nein
715;Schlecht;Ja;Nein;Ja
716;Gut;Nein;Nein;nein
717;Gut;Nein;Ja;nein
718;Schlecht;Nein;Nein;Ja
719;Schlecht;Ja;Nein;Ja
720;Schlecht;Ja;Nein;nein
721;Schlecht;Ja;Nein;Ja
722;Gut;Nein;Nein;nein
723;Schlecht;Nein;Nein;Ja
724;Gut;Nein;Nein;nein
725;Schlecht;Ja;Nein;Ja
726;Schlecht;Nein;Nein;Ja
727;Schlecht;Nein;Nein;Ja
728;Schlecht;Ja;Nein;Ja
729;Gut;Nein;Nein;nein
730;Schlecht;Nein;Nein;Ja
731;Schlecht;Nein;Nein;Ja
732;Gut;Nein;Nein;Ja
733;Gut;Nein;Nein;nein
734;Schlecht;Nein;Nein;Ja
735;Schlecht;Nein;Nein;Ja
736;Gut;Ja;Ja;nein
737;Gut;Nein;Nein;Ja
738;Schlecht;Nein;Nein;nein
739;Schlecht;Nein;Nein;Ja
740;Gut;Ja;Ja;nein
741;Gut;Ja;Nein;nein
742;Gut;Ja;Nein;nein
743;Schlecht;Nein;Nein;Ja
744;Schlecht;Nein;Nein;Ja
745;Gut;Nein;Nein;nein
746;Gut;Nein;Nein;nein
747;Gut;Nein;Nein;nein
748;Gut;Nein;Nein;nein
749;Schlecht;Nein;Nein;nein
750;Gut;Ja;Nein;nein
751;Schlecht;Nein;Nein;Ja
752;Gut;Nein;Nein;nein
753;Gut;Nein;Ja;nein
754;Gut;Nein;Ja;nein
755;Gut;Nein;Nein;nein
756;Schlecht;Ja;Nein;nein
757;Gut;Nein;Nein;nein
758;Gut;Ja;Ja;nein
759;Gut;Nein;Nein;nein
760;Schlecht;Ja;Nein;Ja
761;Schlecht;Nein;Nein;Ja
762;Gut;Nein;Ja;nein
763;Gut;Nein;Nein;nein
764;Schlecht;Nein;Nein;Ja
765;Schlecht;Nein;Nein;Ja
766;Gut;Nein;Nein;nein
767;Gut;Nein;Nein;nein
768;Gut;Nein;Nein;nein
769;Gut;Nein;Nein;nein
770;Gut;Nein;Nein;nein
